CA_LAT  Los Angeles Times       Los Angeles, Calif. USA
CA_MN   The Mercury News        San Jose, Calif. USA
IA_DR   The Des Moines Register Des Moines, Iowa USA
MA_BG   The Boston Globe        Boston, Mass. USA
MI_DFP  Detroit Free Press      Detroit, Mich. USA
NY_TU   Times Union     Albany, N.Y. USA
NY_NYT  The New York Times      New York, N.Y. USA
NY_NYT  The New York Times      New York, N.Y. USA
NY_NYT  The New York Times      New York, N.Y. USA
NY_BN   The Buffalo News    Buffalo, N.Y. USA
NY_BN   The Buffalo News    Buffalo, N.Y. USA
NY_BN   The Buffalo News    Buffalo, N.Y. USA
WSJ     The Wall Street Journal New York, N.Y. USA
MD_TS    The Baltimore Sun    Baltimore, Md. USA
MD_TS    The Baltimore Sun    Baltimore, Md. USA
MD_TS    The Baltimore Sun    Baltimore, Md. USA
NY_RDC  Rochester Democrat and Chronicle        Rochester, N.Y. USA
CAN_TS  Toronto Star    Toronto, Canada
FL_MH   The Miami Herald        Miami, Fla. USA
CA_SFC  San Francisco Chronicle San Francisco, Calif. USA
IL_CT    Chicago Tribune    Chicago, Ill. USA
GA_AJC    The Atlanta Journal-Constitution    Atlanta, Ga. USA
OR_TO    The Oregonian    Portland, Ore. USA
TX_AAS    Austin American-Statesman    Austin, Texas USA
WA_ST    The Seattle Times    Seattle, Wash. USA
