AL_DE	Dothan Eagle	Dothan, Ala. USA
AL_MA	Montgomery Advertiser	Montgomery, Ala. USA
AL_OAN	Opelika-Auburn News	Opelika, Ala. USA
AK_ADN	Anchorage Daily News	Anchorage, Alaska USA
AK_FDNM	Fairbanks Daily News-Miner	Fairbanks, Alaska USA
AZ_TNH	Today's News-Herald	Lake Havasu City, Ariz. USA
AZ_AR	The Arizona Republic	Phoenix, Ariz. USA
AZ_DC	The Daily Courier	Prescott, Ariz. USA
AZ_ADS	Arizona Daily Star	Tucson, Ariz. USA
AR_SR	The Sentinel-Record	Hot Springs, Ark. USA
AR_ADG	Arkansas Democrat-Gazette	Little Rock, Ark. USA
CA_BC	The Bakersfield Californian	Bakersfield, Calif. USA
CA_FB	The Fresno Bee	Fresno, Calif. USA
CA_LAT	Los Angeles Times	Los Angeles, Calif. USA
CA_LO	La Opinión	Los Angeles, Calif. USA
CA_MSS	Merced Sun-Star	Merced, Calif. USA
CA_MB	The Modesto Bee	Modesto, Calif. USA
CA_WJLA	World Journal - Los Angeles	Monterey Pk, Calif. USA
CA_DS	The Desert Sun	Palm Springs, Calif. USA
CA_RS	Record Searchlight	Redding, Calif. USA
CA_SB	The Sacramento Bee	Sacramento, Calif. USA
CA_SFC	San Francisco Chronicle	San Francisco, Calif. USA
CA_MN	The Mercury News	San Jose, Calif. USA
CA_TT	The Tribune	San Luis Obispo, Calif. USA
CA_VCS	Ventura County Star	Ventura, Calif. USA
CA_VTD	Visalia Times-Delta	Visalia, Calif. USA
CA_EBT	East Bay Times	Walnut Creek, Calif. USA
CO_TG	The Gazette	Colorado Springs, Colo. USA
CO_DH	The Durango Herald	Durango, Colo. USA
CO_DS	The Daily Sentinel	Grand Junction, Colo. USA
CT_CP	Connecticut Post	Bridgeport, Conn. USA
CT_NT	The News-Times	Danbury, Conn. USA
CT_GT	Greenwich Time	Greenwich, Conn. USA
CT_HC	Hartford Courant	Hartford, Conn. USA
CT_MP	The Middletown Press	Middletown, Conn. USA
CT_NHR	New Haven Register	New Haven, Conn. USA
CT_TD	The Day	New London, Conn. USA
CT_TH	The Norwalk Hour	Norwalk, Conn. USA
CT_TA	Stamford Advocate	Stamford, Conn. USA
CT_RA	Republican-American	Waterbury, Conn. USA
DE_NJ	The News Journal	Wilmington, Del. USA
DC_WP	The Washington Post	Washington, D.C. USA
FL_BH	The Bradenton Herald	Bradenton, Fla. USA
FL_CCC	Citrus County Chronicle	Crystal River, Fla. USA
FL_NP	The News-Press	Fort Myers, Fla. USA
FL_SLNT	St. Lucie News Tribune	Fort Pierce, Fla. USA
FL_SS	Sun Sentinel	Ft. Lauderdale, Fla. USA
FL_FTU	The Florida Times-Union	Jacksonville, Fla. USA
FL_FT	Florida Today	Melbourne, Fla. USA
FL_MH	The Miami Herald	Miami, Fla. USA
FL_ENH	El Nuevo Herald	Miami, Fla. USA
FL_NDN	Naples Daily News	Naples, Fla. USA
FL_OS	Orlando Sentinel	Orlando, Fla. USA
FL_PNJ	Pensacola News Journal	Pensacola, Fla. USA
FL_SHT	Sarasota Herald-Tribune	Sarasota, Fla. USA
FL_TIMES	Tampa Bay Times	St. Petersburg, Fla. USA
FL_SN	The Stuart News	Stuart, Fla. USA
FL_TD	Tallahassee Democrat	Tallahassee, Fla. USA
FL_VDS	The Villages Daily Sun	The Villages, Fla. USA
FL_VBPJ	Press Journal	Vero Beach, Fla. USA
